% 1. Title : cyclus.spam.train
%
%
% 2. Sources:
%    (a) Creator : Zach Welch
%    (b) Date 2013-11-25
@RELATION BUGGY
@ATTRIBUTE Comment STRING
@ATTRIBUTE classification {clean,buggy}

@DATA
" started fixing concrete models to use std::string instead of Commodity*.",buggy
" compiles and runs - except null/test4.xml failes.",buggy
" Commodity class is completely obliterated from all concrete models except SWUeUF6Converter and SeparationsMatrixFacility.  These two concrete models are removed from the build.",buggy
" misc merge props.",clean
" updated all wiki pages to doxy text in respective header files completing issue 122. Note: I did not delete wiki pages. Should we?",buggy
" fixed rng naming problem that resulted in failure to run input files (problem in CMakeLists for generic repo).",clean
" fixed bug introduced into null/test4.xml that prevented it from running.",buggy
" Reinstates the SWUeUF6Converter. Also fixes an EnrichmentFacility bug (minor from a search and replace) introduced in r381.",buggy
" This commit reinstates the SeparationsMatrixFacility. It is clearly still not quite fully functional ( that is it currently has a weird hack hardcoding the number of streams and whatnot ) but it compiles and all of the test input files (in the input/sep/ directory) run just fine.",buggy
" The Material class now inherits from the Resource class. The next step toward issue96 will be to teach the messages and markets to exclusively used the Resource interface for offer/request matching.",buggy
" Toward issue96 this removes references to Materials from the Message class and Markets. Also it fixes input/test3null and test4null which had typos.",buggy
" Continued adjustment of the Material class to jive with the Resource interface. Now checks total mass as well as total atoms. Used EPS_KG for equality checking.",buggy
" added skeleton output.dox document and linked accordingly",clean
" This addresses issue96 by implementing a GenericResource class and eliminates dependence of the Message class on the Material class and Material notions of amounts.  Some cleanup still needs to be done and the concept of resources should be migrated into decision-making in the Markets.",buggy
" Cleanup fixes sign error in NullMarket introduced by new paradigm",buggy
" More cleanup from issue 96. Changed convention of SinkFacility and NullFacility capacity defninitions in grammar so that they no longer reference recipes which are not included in those models. Variability in output masses is due to massbased material creation.",buggy
" Simplifications to the Resource classes.",buggy
" Minor Material class cleanup to fix lack of bookkeeper checkin in decay function.",buggy
" Added search box to doxygen output. Renamed Log class to Logger. Added logger documentation.",buggy
" fixed some documentation refs to the renamed logger class.",clean
" a wee bit of house keeping.. thinking a lot about how we want to implement more of the database.",clean
" Fixed clone function in message class so that it copies the proper resource. Also simplified SinkFacility class by employing some code reuse.",buggy
" Fixes related bugs found in GreedyMarket NullMarket SourceFacility and SinkFacility. Combined these issues resulted in facilities sending more than they were told to send. There is still a similar problem lurking in the NullFacility. I am looking into it.",buggy
" Fixed bug in NullFacility having to do with Resource compatibility. Also fixed test4 and test6 input file capacity conventions to agree with current syntax.",buggy
" added recipe-reading functionality to isovector.  Moved recipe tracking from logician into IsoVector.  Many more changes to come.",buggy
" changed Transaction.resource to Resource instead of Resource*.  This allows for message cloning to be shallow (and greatly simplified.",buggy
" Increases coverage of SourceFacilityTests. They now pass. Also corrects erroneous (copy/paste error) documentation in MarketModel.h",buggy
" gave a first crack at assigning unique ids to transactions. currently id's are assigned when they are registered with the bookkeeper. this may change given the requirements for other output.",buggy
" Tests find bugs. Fancy that. It became clear that the SourceFacilityTests passed unless run in gdb. If run in gdb a memory issue appeared because the MarketModel destructor did nothing to delete the appropriate element of the markets_ vector. Since the testing framework requires a complete TearDown() the destructors need to be complete. I added the needed feature to the MarketModel destructor in this commit. In order to do this nicely I made the markets_ vector a list instead for better removal of pointers.",buggy
" This adds an abstract test pattern for the testing of concrete FacilityModels. It was based on the suggestion given at : http://code.google.com/p/googletest/wiki/AdvancedGuide#Creating_Value-Parameterized_Abstract_Tests  This represents a step forward toward issue118 and issue105. Documentation is forthcoming. Unfortunately this commit introduces a seg-fault at the global test environment tear-down step for the testing executable. Work on diagnosing this segfault has begun.",buggy
" Changed construct and destruct function symbols according to the suggestion (by Steve) referred to in issue89 . This commit closes issue89.  This change was necessary in order to demonstrate that two concrete FacilityModels can tested with the same FacilityModelTests interface toward the completion of issue118 and issue105 . This demonstration is shown with the SourceFac.FacilityModelTests and the SinkFac.FacilityModelTests that run using googletests parameterized test fixture capability. This commit provides a proof of principle for the Abstract Test Pattern which will be used throughout the code for the testing of abstract interfaces.  The segfault reported in r566 was diagnosed and corrected in the FacilityModelTests copyFacility test.",buggy
" Toward issue118 and issue105 this commit adds many concrete facility tests.",buggy
" This adds an abstract test pattern for institutions. It also adds some concrete institution tests. Finally this commit makes apparent a memory leak in the MessageTests soon to be diagnosed.",buggy
" Adds BuildInstTests.cpp file which was erroneously neglected in r570.",buggy
" Fixes failing test in the message class. Does not however fix the memory leak mentioned in r570.",buggy
" This commit adds to our current barebones database structure working towards issue124 and issue125.  I have added the following capabilities: * models now report their parent IDs bornOn dates and diedOn dates * the bookkeeper now additionally records each of these * bornOn dates are set using the Model::init function * a Model::decommission function was added to apply diedOn dates (and later decommissioning activities) * all facility models now call the FacilityModel::handleTock after their own handle tock. this is to allow decommisioning activities. ** I dont like that the order is reversed from other functions (like init -> the facility model init is called first not last) so I will look into changing this * currently decommission occurs at the end of the last handleTock of the simulation for all models * under the gregorian calendar paradigm (which may of course change) the timer can now tell if it is the last day or month of the simulation  The purpose of this commit is to have a stable output database under the current output database paradigm. It allows for material tracking throughout the simulation but assumes that this is the only tracking we wish to have (i.e. one cannot track capacity energy production etc.). Additionally it assumes the R-I-F strict parent structure (i.e. it is convoluted to try to analyze the output if a facility owns another facility).  I am working to commit the following changes: * revamp the database structure as described in the OutputDatabase wiki page ** a major decision here will be how to write to the database for each agent type. do we have the agents write to the database as things happen? does each agent type get a bookkeeper vector? Interesting questions... * create a Bookkeeper function that can take a group of H5std_strings a structure and an output path and write to the database. This will allow for models (agents) transactions and resources can all be written using the same function. * write python scripts to track material changes under this paradigm ** I am waiting untill the above is complete before writing the python scripts because I believe enough changes will occur to make any scripts under the current paradigm obsolete.",buggy
" Preliminary examples of concrete MarketModelTests within an abstract pattern.",buggy
" This commit adds StubModelTests and RegionModelTests.",buggy
" * setResource method on messages now automatically clones the resource and stores the clone with the transaction.  This prevents markets messages etc. from inadvertenly changing resources that may be part of agent inventories. The Resource class now has a clone() method that must be satisfied.  * removed setQuantity from the Resource base class as it was problematic with regards to conservation of resources (i.e. stuff doesn't disappear and/or come from nothing).  * clone method on messages is fixed.  It now appropriately copies the resource in the messages transaction.",buggy
" more bug fixes gradually approaching a compilable state.",buggy
" core now compiles.  Concrete markets enrichment facility conditioning facility have been updated to use the new material/isovector classes. Although I have endeavored to be thorough I wouldn't bet much on the conversion being error free.  We will need to invest time writing some good tests for the concrete models.",buggy
" Fixed typo in EnrichmentFacility destructor.",clean
" Adds RegionModelTests and fixes some memory management issues within other tests.",buggy
" * converted GenericRepository to use the newly refactored Material/IsoVector duo. the GenericRepository class still uses some deprecated types - notably MassHistory and CompHistory in the Component.h file.  the mapping of isotopes to quantities should be handled using the IsoVector class rather than a map<int double> as in the case of MassHistory and CompHistory.  * converted NullFacility to use the newly refactored Material/IsoVector duo.  * added setQuantity back to the Resource abstract base class. It turns out that it is required in order for market models to be able to deal with different kinds of resources.  Without it in the resource base class a market model specific to each concrete resource class would have to be created.  This is because markets need to be able to split/adjust order/request quantities for matching by changing the resource quantity of the order/request.  Without the setQuantity in the resource base class this could only be achieved via down-casting the resource object into a spcific concrete type (e.g. Material GenericResource etc.).  This would effectively make markets concrete resource specific or it would require them to have some yucky internal code to determine the proper type to cast the resource into. Neither of these option are desirable.  I reverted to setQuantity in the base resource class after realizing this in conjunction with the fact that as resources in messages are now clones changing resource quantities poses no conservation violations.",buggy
" * made the recipe retrieval method 'recipe(std::string)' in the IsoVector class static - this was an error and the method should always have been static.  * RecipeReactor now uses the new Material/IsoVector duo (albeit clunkily). This was the trickies conversion yet and is a good candidate for new bugs.",buggy
" * fixed bug in RecipeReactor handleTick where a new Material object was allocated but its composition and mass were not set properly for the offer.  * converted SeparationsMatrixFacility to new Material/IsoVector duo.",buggy
" Moved abstract tests to the testing directory and added testing documentation. With a little cleanup issue105 will soon be complete!",clean
" IsoVector now throws an exception if setMass is called before any composition has been set.  This prevents a divide by zero error.",clean
" * added method to IsoVector that multiplies/changes its mass by a specified multiplier.  * SWUConverter now uses new Material class/Isovector duo.  * SourceFacility now uses new Material class/Isovector duo.  * SinkFacility now uses new Material class/Isovector duo.  * changes to Material class were so drastic that none of the former tests were valid.  MaterialTests.cpp has been whitewashed and is in need of new tests.",buggy
" material class decay method is now connected to the IsoVector decay code. A last_update_time_ member variable was added to the material class.  The decay method on the material class automatically updates this var to the current sim time.  Consider renaming the Material class decay method to be something like 'updateStatus'.",buggy
" Fixed recipereactortests and sourcefacilitytests to comply with new material/isovector classes.  Everything compiles now.",buggy
" added overloaded == operator to IsoVector class.",clean
" * fixed bug in the MarketModel destructor.  When removing markets from the static markets_ list the loop searching for the market that matched the market being deleted the loop didn't break after removing the market being killed.  This was causing segfaults every time a market was deleted.  * disabled writeModelLists test in BookKeeperTests.cpp because it was segfaulting and I couldn't find the cause.  * XMLConstructor of IsoVector is not tested - the InputXML class only works if you go through the load-from-file process. InputXMl needs to be revised so it can process xml for us without having curFilePtr and other member vars initialized.  * Added IsoVector tests and began populating them.  * fixed floating point precision bug in GreedyMarket that resulted in segfaulting due to zero-mass splitting of offers.  When creating concrete markets please take care to use EPS_KG and such when manipulating offer/requests quantities.",buggy
" * improved floating point handling in IsoVector class by use of isZero method.  * Added many tests for IsoVector class.  * added more thorough argument checking and exception throwing to get and set methods in the IsoVector class.",buggy
" This commit adds instructions on how to build and install Teuchos. It does not yet add Teuchos as a required package in CMakeLists.txt. Katy and I are discussing today the best way to implement this.",clean
" updated configure scripts for lapack and teuchos",clean
" This commits some changes increasing modularity of the testing framework. May correct error Robert is having in the BookKeeper tests? If so sorry for the oversight.",buggy
" renamed trilinos file and folder",clean
" this commit adds teuchos as a dependency. the wiki describes a tested install method at InstallingDependencies. we will need to add lapack and teuchos to cae. NOTE: teuchos requires a higher cmake dependency than we previously did. i have updated the cmake dependency on the wiki but we may need to update cmake on cae as well.",buggy
" removed Trilinos version reporting from BookKeeper instannce function. This was debris from debugging tasks concerning Teuchos dependency.",clean
" added shell for IsoVector decay test.",clean
" Decouples the cmake declarations of dynamically loaded modules from the cmakelists file in the testing directory. Now all references to models stay within their modular directory.",buggy
" Slight improvements/mods to IsoVector class/doc.  Added operator overloading tests for IsoVector class.",buggy
" added shell for a few more IsoVector tests. minor housekeeping.  Made isZero IsoVector method public.",buggy
" added script for finding trilinos library.",clean
" Implemented a Message::approve() method that does a pull/push for resource transactions (issue 135 and issue 112). Killed FacilityModel [send/receive]Material methods in favor of [add/remove]Resource methods in the Model base class.  The default implementations in the model base class throw a CycOverrideException. All Material* transfers have been converted to the more generic Resource* transfers.  All book-keeping of transactions can now be encapsulated easily within the Message class and it's approve() method.",buggy
" Adds many tests including skeletal TimeAgent and Communicator tests. Also fixes missing GenericRepository implementation of removeResource().",buggy
" Renamed Message.approve method to approveTransfer.  Moved logician model tracking functionality to static vars/methods in the Model class.  Killed the Logician.",buggy
" This commit adds a static output directory string for each class including TimeAgent RegionModel InstModel FacilityModel and their respective inheritency children. The string itself if private but there is a public getter function.  Additionally each string is built upon its inheritence. For example The source facility has a privte string called outputDir_. One accesses the full output string for source facility by SourceFacility::outputDir(). The return string for this function is actually FacilityMode::outputDir.append(outputDir_).  The purpose of this methodology is to allow for there to be a bookkeeper function which takes arguments of outputDir and parameterList and adds these to a container for eventual writing to the output database. Accordingly each atomic entity can decide when to ask the bookkeeper to record something (such as a state change) by prompting: BI->record(ThisClass::outputDir aParameterList).",buggy
" Removes the removeResource function declaration introduced in r618.",clean
" I think the double free or corruption error is a problem with my machine.  I reinstated the initialization of the static vars as it was before.",buggy
" Indeed the test errors on GenericRepository are real - not just me.  This commit fixes the segfaulting during the teardown of the global test environment.  However - it leaves 3 static member vars uninitialized to their necessary values.",clean
" Added branch for generic repository development and removed the generic repository from the trunk.",clean
" Finished IsoVector tests.  The decay test is simply the prev Material class decay test adapted for IsoVector.  More rigorous decay tests are in the future still.",clean
" added cloning and resource get/set tests to the message class.  These were new methods that had implementation more complicated than simple return/setting of values.  See issue 136.",buggy
" Remove unused total_atoms_ member var from IsoVector.  Changed access from private to protected for some IsoVector methods and member vars involving decay functionality to allow for better decay unit testing. Added shells for more IsoVector decay tests. Moved decay IsoVector tests to their own test case because they require such different setup/teardown.",clean
" Cleaned up some unneeded test classes.",clean
" improved invalid isotope exception message.  Added try/catch to IsoVectorTests fixture SetUp - this makes tests fail explicitly if an uncaught exception occurs during setup.",buggy
" refactored decay info loading and conversion between Vector and CompMap into a separate DecayHandler class.  This will allow better unit testing of the decay process without requiring us to make tests for private code.  It also seems more natural.  The DecayHandler class still needs documentation (although it will generally not be used by external developers).",buggy
" forgot to svnadd the DecayHandler.  Here it is.  Sorry.",buggy
" added a neglected dataset name",clean
" Changes the Material::comp() syntax to the more truthful isoVector() syntax. Also changes situations where comp().comp() occured to iso_vector_.comp(). The former (comp().comp()) threw errors in Material::clone() function testing (added here). The latter does not throw such errors.  For reference a backtrace of the sort of errors the former threw follows (the 'identifier' in question is always different btw):  [----------] 2 tests from MaterialTest [ RUN      ] MaterialTest.Constructors [       OK ] MaterialTest.Constructors (0 ms) [ RUN      ] MaterialTest.Clone terminate called after throwing an instance of 'CycRangeException' what():  cyclus exception: Isotope identifier '574365655' is not valid.  Program received signal SIGABRT Aborted. 0x00007fff85dbc0b6 in __kill () (gdb) bt 0  0x00007fff85dbc0b6 in __kill () 1  0x00007fff85e5c9f6 in abort () 2  0x00007fff87d7e5d2 in __gnu_cxx::__verbose_terminate_handler () 3  0x00007fff87d7cae1 in __cxxabiv1::__terminate () 4  0x00007fff87d7cb16 in std::terminate () 5  0x00007fff87d7cbfc in __cxa_throw () 6  0x0000000100084be1 in IsoVector::validateIsotopeNumber () 7  0x0000000100084d2d in IsoVector::atomCount () 8  0x000000010008949b in Material::checkQuality () 9  0x00000001000e6616 in MaterialTest_Clone_Test::TestBody () 10 0x000000010159b7dd in testing::Test::Run () 11 0x00000001015a246e in testing::internal::TestInfoImpl::Run () 12 0x00000001015a25a4 in testing::TestCase::Run () 13 0x00000001015a2872 in testing::internal::UnitTestImpl::RunAllTests () 14 0x00000001015a29e9 in testing::UnitTest::Run () 15 0x0000000100020130 in main () (gdb)",buggy
" All models are now properly book-kept.  I am still having trouble coming up with an elegant way to distinguish between templates and non-template models.",buggy
" Fixed the template ambiguity problem - somewhat elegantly (I avoided introducing any new code/requirements into concrete model coding).  The thing that all 'real' sim agents have in common is they send/receive messages.  Model* default constructor sets an is_template_ instance var to 'true'.  If an agent ever sends/receives a message the message class sets the is_template_ var to 'false'.  It works.",buggy
" Material state during transactions is now properly recorded in the hdf5 output.  Each material state entry has an associated transaction ID.",buggy
" fixed bug introduced in r636 that caused segfault in message class tests.",clean
" This removes references to the generic repository from the bookkeeper. It also removes the generic 12 and 3d writeData functions and data structures which were as yet unused.",clean
" This also removes generic and unused readData functions from the bookkeeper.",clean
" Move INCLUDE_DIRECTORIES to capture update from Techos search.  Allow CMAKE_MODULE_PATH to be defined on command-line and appended here.  Add FIND_TRILINOS_DIR to commandline for finding Trilinos.",clean
" Composition (isotope quantity pairs) entries now have their own table. StateID is now recorded (it should have been before) - it is necessary because the possibility of multiple material objects (and hence material ID's) per transaction.  This completes issue 135.",buggy
" This adds testing for the basic interface functions of the material class. Further testing is always possible but this represents a solid foundation upon which to add further test coverage for this class and closes issue134.",buggy
" Adds ConditioningFacility tests to inform ConditioningFacility completion.",buggy
" Improvements to the conditioning facility.",buggy
" housekeeping.",buggy
" removed handle code from model class.  It was unused and redundant w/ model ID and name.",buggy
" house-keeping.  renamed some Model class methods to be more consistent.",buggy
" added partner_ member variable (w/ get/set methods) to Message class.  This variable is supposed to be set by markets - when an offer is matched to a request.  This allows facilities receiving resources to know which of their sent messages the resources being received correspond to.  Note that currently concrete models do not set the partner variable.  This still needs to be implemented.",buggy
" Renamed many getters to not have the 'get' prefix.  This is now the cyclus standard (and recommended in the google style guide).",buggy
" This adds windows build instructions and nearly completes the ConditioningFacility.  * The windows build instructions support only a Cygwin based build. * This closes issue104 * The ConditioningFacility is complete except for making offers and requests. * Also this uncovered a potential new bug in the BookKeeper * That is an H5 error is thrown if no transactions take place in a simulation.",buggy
" gave Resource class its own implementation file.  Added static ID tracking to the Resource base class (and consequently removed the Material class's own ID tracking.).  Fixed bug where mass times moles was being recorded in hdf5 instead of must moles.  Changed registerMatState to registerResourceState and modified it's internals to be able to handle non-material type (e.g. generic) resources.  Added a couple of fields to the material state table - now 'quality' for generic resources is recorded - Material resources just get 'Material' recorded in that column. Added a quality getter to the generic resource class. Other minor housekeeping.",buggy
" Added BSD license file to the code.  I chose CNERG as both the 'owner' and 'organization' in the license. Please look it over (esp Paul).",clean
" Minor cleanup in the RecipeReactor.",buggy
" Tweak license info.",clean
" Fixes rank setting in BookKeeper that caused non transacting simulations to crash. Added some offer and requesting capability to conditioning facility. More remains to complete the conditioning facility requesting behavior.",buggy
" added gfortran linking flag to the exe for trilinos dependency",clean
" Improvements to ConditioningFacility. Cleanup remains.",buggy
" I'm taking out our dependencies on Build and Capacity region. They're getting in the way of a change that I'm making to our model list and they were written long ago in a poor manner. I'll revamp them when they're needed.",clean
" forgot to take out the references to build and capacity region in the .rng file",clean
" left out a reference later in the file...",clean
" This commit works toward issue 124. Two major changes are involved:  1) There is now a cleaner methodology for flagging a model as a template or not. - the model class now has a registerModel() function which adds it to the model list - only facilities really use templating. accordingly regions insts etc. add themselves to the model list on init. - the agent in charge of building a facility is also in charge of adding it to the model list - when an instance of an agent is added to the model list it is taken off of the template list - the model class now has a getTemplateByName() which has identical functionality to getModelByName() but searches the template_list_  2) I've been doing a lot of reading but am still having some trouble grasping the implementation of abstracting the hdf5 writing. Accordingly I've requested a meeting with Steve. In the meantime I will make the BookKeeper changes that we know are easy to implement (cementing the core book keeping -- agent list resource list and transaction list) and beginning to implement the dynamic parameter tables via templated structures. - I have replaced the BookKeepers writeModelLists() and doModelWrite() functions with a single writeAgentList() function. The Agent table builds properly. - I added h5wrap.h from PyNE. Anthony has some nice hdf5 helper functionality there. - Note that in PyNE's material class there is a good example of chunking (i.e. expanding a Dataset and writing new rows to it). We should look at it if/when we decide we need the ability to dump data.",buggy
" added a generic dataset writing function which takes care of the group creation/dataspace creation/dataset writing.",clean
" streamlined the writeTransList function in the BookKeeper to match the writeAgentList",clean
" * created separate getter/setter for isTemplate in the Model class.  The setter automatically flags/stores the model as template as appropriate.  * re added the model ID assignment to the Model constructor.  * created a generic removeFromList method in the Model class that eliminates code duplication when removing/maintaining the static model lists.  * markets and regions automatically  * killed the registerModel code in favor of the setIsTemplate method.  Markets and regions automatically are instantiated with isTemplate being false.  * the setParent method automatically sets is_template to 'false'.  * Re added the functionality where the message class marks agents as not templates if they send/receive a message.  * noticed that institutions are not added as children of a region in sim initialization phase (I'm pretty sure anyway).  This needs to be corrected.",buggy
" fixed the static string for transaction output issue. it must have commited an earlier version of the code I was working on. Hmpf.",buggy
" Conditioning Facility improvements.",buggy
" message for myself",clean
" Fixed an order splitting issue in the SourceFacility and did some ConditioningFacility cleanup.",buggy
" switched ordering of hdf5 linking flags. cyclus compiled fine but when I was compiling a sandbox directory the ordering mattered. I don't know why (after asking Steve... he didn't know either) but if it's a compiler issue I'd rather be safe than sorry.",clean
" * added try-catch around the TI->runSim invocation in App.cpp.  This garuntees that bookkeeping will be completed regardless of any CycExceptions that are thrown.  * house keeping  * dependency/include cleanup in some files.  * discovered need to create manual copy constructors for Material and GenericResource classes in order to prevent duplicate ID's in resources. This will be necessary for discrete resource tracking.  I created appropriate constructors.  I also modified the MaterialTests file to make sure no duplicate ID's arise from resource cloning.  * changed some ASSERT's to EXPECT's (and vice versa) in MaterialTests in order to provide more feedback when tests go wrong.",buggy
" Had some changes in there that I forgot I was working on. Reverted with correct changes.",clean
" reverted CMakeLists.txt to r660",buggy
" reverted to the working version of r660 with the teuchos gfortran flag",clean
" forgot about the hdf5 library order thanks to steve",clean
" ignoring build debug and misc build files via .gitignore.",clean
" readme based on 'get and build cyclus' page content - a first stab at addressing #16.",buggy
" Changes the Material::comp() syntax to the more truthful isoVector() syntax. Also changes situations where comp().comp() occured to iso_vector_.comp(). The former (comp().comp()) threw errors in Material::clone() function testing (added here). The latter does not throw such errors.  For reference a backtrace of the sort of errors the former threw follows (the 'identifier' in question is always different btw):   [----------] 2 tests from MaterialTest [ RUN      ] MaterialTest.Constructors [       OK ] MaterialTest.Constructors (0 ms) [ RUN      ] MaterialTest.Clone terminate called after throwing an instance of 'CycRangeException' what():  cyclus exception: Isotope identifier '574365655' is not valid.  Program received signal SIGABRT Aborted. 0x00007fff85dbc0b6 in __kill () (gdb) bt #0  0x00007fff85dbc0b6 in __kill () #1  0x00007fff85e5c9f6 in abort () #2  0x00007fff87d7e5d2 in __gnu_cxx::__verbose_terminate_handler () #3  0x00007fff87d7cae1 in __cxxabiv1::__terminate () #4  0x00007fff87d7cb16 in std::terminate () #5  0x00007fff87d7cbfc in __cxa_throw () #6  0x0000000100084be1 in IsoVector::validateIsotopeNumber () #7  0x0000000100084d2d in IsoVector::atomCount () #8  0x000000010008949b in Material::checkQuality () #9  0x00000001000e6616 in MaterialTest_Clone_Test::TestBody () #10 0x000000010159b7dd in testing::Test::Run () #11 0x00000001015a246e in testing::internal::TestInfoImpl::Run () #12 0x00000001015a25a4 in testing::TestCase::Run () #13 0x00000001015a2872 in testing::internal::UnitTestImpl::RunAllTests () #14 0x00000001015a29e9 in testing::UnitTest::Run () #15 0x0000000100020130 in main () (gdb)",clean
" All models are now properly book-kept.  I am still having trouble coming up with an elegant way to distinguish between templates and non-template models.",buggy
" Fixed the template ambiguity problem - somewhat elegantly (I avoided introducing any new code/requirements into concrete model coding).  The thing that all 'real' sim agents have in common is they send/receive messages.  Model* default constructor sets an is_template_ instance var to 'true'.  If an agent ever sends/receives a message the message class sets the is_template_ var to 'false'.  It works.",buggy
" Material state during transactions is now properly recorded in the hdf5 output.  Each material state entry has an associated transaction ID.",buggy
" fixed bug introduced in r636 that caused segfault in message class tests.",clean
" This removes references to the generic repository from the bookkeeper. It also removes the generic 12 and 3d writeData functions and data structures which were as yet unused.",clean
" This also removes generic and unused readData functions from the bookkeeper.",clean
" Move INCLUDE_DIRECTORIES to capture update from Techos search.  Allow CMAKE_MODULE_PATH to be defined on command-line and appended here.  Add FIND_TRILINOS_DIR to commandline for finding Trilinos.",clean
" Composition (isotope quantity pairs) entries now have their own table. StateID is now recorded (it should have been before) - it is necessary because the possibility of multiple material objects (and hence material ID's) per transaction.  This completes issue 135.",buggy
" This adds testing for the basic interface functions of the material class. Further testing is always possible but this represents a solid foundation upon which to add further test coverage for this class and closes issue134.",clean
" Adds ConditioningFacility tests to inform ConditioningFacility completion.",clean
" Improvements to the conditioning facility.",buggy
" housekeeping.",clean
" removed handle code from model class.  It was unused and redundant w/ model ID and name.",clean
" house-keeping.  renamed some Model class methods to be more consistent.",clean
" added partner_ member variable (w/ get/set methods) to Message class.  This variable is supposed to be set by markets - when an offer is matched to a request.  This allows facilities receiving resources to know which of their sent messages the resources being received correspond to.  Note that currently concrete models do not set the partner variable.  This still needs to be implemented.",buggy
" Renamed many getters to not have the 'get' prefix.  This is now the cyclus standard (and recommended in the google style guide).",buggy
" This adds windows build instructions and nearly completes the ConditioningFacility.  * The windows build instructions support only a Cygwin based build. * This closes issue104 * The ConditioningFacility is complete except for making offers and requests. * Also this uncovered a potential new bug in the BookKeeper * That is an H5 error is thrown if no transactions take place in a simulation.",clean
" gave Resource class its own implementation file.  Added static ID tracking to the Resource base class (and consequently removed the Material class's own ID tracking.).  Fixed bug where mass times moles was being recorded in hdf5 instead of must moles.  Changed registerMatState to registerResourceState and modified it's internals to be able to handle non-material type (e.g. generic) resources.  Added a couple of fields to the material state table - now 'quality' for generic resources is recorded - Material resources just get 'Material' recorded in that column. Added a quality getter to the generic resource class. Other minor housekeeping.",clean
" Added BSD license file to the code.  I chose CNERG as both the 'owner' and 'organization' in the license. Please look it over (esp Paul).",clean
" Minor cleanup in the RecipeReactor.",clean
" Tweak license info.",clean
" Fixes rank setting in BookKeeper that caused non transacting simulations to crash. Added some offer and requesting capability to conditioning facility. More remains to complete the conditioning facility requesting behavior.",buggy
" added gfortran linking flag to the exe for trilinos dependency",clean
" Improvements to ConditioningFacility. Cleanup remains.",buggy
" I'm taking out our dependencies on Build and Capacity region. They're getting in the way of a change that I'm making to our model list and they were written long ago in a poor manner. I'll revamp them when they're needed.",clean
" forgot to take out the references to build and capacity region in the .rng file",clean
" left out a reference later in the file...",clean
" This commit works toward issue 124. Two major changes are involved:  1) There is now a cleaner methodology for flagging a model as a template or not. - the model class now has a registerModel() function which adds it to the model list - only facilities really use templating. accordingly regions insts etc. add themselves to the model list on init. - the agent in charge of building a facility is also in charge of adding it to the model list - when an instance of an agent is added to the model list it is taken off of the template list - the model class now has a getTemplateByName() which has identical functionality to getModelByName() but searches the template_list_  2) I've been doing a lot of reading but am still having some trouble grasping the implementation of abstracting the hdf5 writing. Accordingly I've requested a meeting with Steve. In the meantime I will make the BookKeeper changes that we know are easy to implement (cementing the core book keeping -- agent list resource list and transaction list) and beginning to implement the dynamic parameter tables via templated structures. - I have replaced the BookKeepers writeModelLists() and doModelWrite() functions with a single writeAgentList() function. The Agent table builds properly. - I added h5wrap.h from PyNE. Anthony has some nice hdf5 helper functionality there. - Note that in PyNE's material class there is a good example of chunking (i.e. expanding a Dataset and writing new rows to it). We should look at it if/when we decide we need the ability to dump data.",clean
" added a generic dataset writing function which takes care of the group creation/dataspace creation/dataset writing.",clean
" streamlined the writeTransList function in the BookKeeper to match the writeAgentList",clean
" * created separate getter/setter for isTemplate in the Model class.  The setter automatically flags/stores the model as template as appropriate.  * re added the model ID assignment to the Model constructor.  * created a generic removeFromList method in the Model class that eliminates code duplication when removing/maintaining the static model lists.  * markets and regions automatically  * killed the registerModel code in favor of the setIsTemplate method.  Markets and regions automatically are instantiated with isTemplate being false.  * the setParent method automatically sets is_template to 'false'.  * Re added the functionality where the message class marks agents as not templates if they send/receive a message.  * noticed that institutions are not added as children of a region in sim initialization phase (I'm pretty sure anyway).  This needs to be corrected.",buggy
" fixed the static string for transaction output issue. it must have commited an earlier version of the code I was working on. Hmpf.",clean
" Conditioning Facility improvements.",buggy
" message for myself",clean
" Fixed an order splitting issue in the SourceFacility and did some ConditioningFacility cleanup.",clean
" switched ordering of hdf5 linking flags. cyclus compiled fine but when I was compiling a sandbox directory the ordering mattered. I don't know why (after asking Steve... he didn't know either) but if it's a compiler issue I'd rather be safe than sorry.",clean
" * added try-catch around the TI->runSim invocation in App.cpp.  This garuntees that bookkeeping will be completed regardless of any CycExceptions that are thrown.  * house keeping  * dependency/include cleanup in some files.  * discovered need to create manual copy constructors for Material and GenericResource classes in order to prevent duplicate ID's in resources. This will be necessary for discrete resource tracking.  I created appropriate constructors.  I also modified the MaterialTests file to make sure no duplicate ID's arise from resource cloning.  * changed some ASSERT's to EXPECT's (and vice versa) in MaterialTests in order to provide more feedback when tests go wrong.",clean
" Had some changes in there that I forgot I was working on. Reverted with correct changes.",clean
" reverted CMakeLists.txt to r660",clean
" reverted to the working version of r660 with the teuchos gfortran flag",clean
" forgot about the hdf5 library order thanks to steve",clean
" ignoring build debug and misc build files via .gitignore.",clean
" Added a Readme.",buggy
" Fixed link an license in Readme.",clean
" more tweaks to the readme. closes #16.",clean
" sed replaced Message* with msg_ptr (issue #6)",buggy
" sed added closing parens to many msg_ptr allocations (issue #6).",buggy
" added typdef for msg_ptr. added boost smart_ptr include.  fixed gtest file that got corrupted from sed replace.  added forgotten boost namespace specifier.  see issue #6.",buggy
" changed to boost::intrusive_ptr instead of smart_ptr (issue #6).",buggy
" fixed more bugs w/ new smart pointer paradigm (issue #6).",buggy
